
"run.number","green.patches","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"5","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1","0","0.8590909090909091","11","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1","0","0.88125","12","0","0"
"2","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1","0","0.9","11","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1","0","0.8795454545454545","11","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.1428571428571428","0.07142857142857142","0.8517857142857143","14","0","0"
"1","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1","0","0.9","11","0","0"
"10","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1","0","0.9","11","0","0"
"5","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1","0","0.8590909090909091","11","0","0"
"2","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1","0","0.9","11","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1","0.07692307692307693","0.8307692307692307","13","4","0.3076923076923077"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1","0","0.88125","12","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1","0","0.8590909090909091","11","0","0"
"5","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1","0","0.859090909090909","11","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1","0","0.8795454545454545","11","0","0"
"10","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1","0","0.9","11","0","0"
"2","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1","0","0.9","11","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.1428571428571428","0.07142857142857142","0.8517857142857143","14","0","0"
"1","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1","0","0.9","11","0","0"
"10","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1","0","0.9","11","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.1428571428571428","0.07142857142857142","0.8517857142857143","14","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1","0","0.8590909090909091","11","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1","0","0.8795454545454545","11","0","0"
